Image,Predicted,True,Diff,Predict,Miss
17229,48A05177,48A05177,0,1,0
17246,51F88270,51F88270,0,1,0
17308,56S4698,56S4698,0,1,0
17309,56S4698,56S4698,0,1,0
17318,51F63034,51F63034,0,1,0
17319,51F63034,51F63034,0,1,0
17364,51A69172,51A69172,0,1,0
17368,52Y6490,52Y6490,0,1,0
17369,52Y6490,52Y6490,0,1,0
17370,51F16159,51F16159,0,1,0
17371,51F16159,51F16159,0,1,0
17400,61A22959,61A22959,0,1,0
17401,61A22959,61A22959,0,1,0
17420,51G37675,51G37675,0,1,0
17421,51G37675,51G37675,0,1,0
17436,51A89714,51A89714,0,1,0
17470,0,51A72110,1,0,1
17540,51F24403,51F24403,0,1,0
17541,51F24403,51F24403,0,1,0
17602,51G31691,51G31691,0,1,0
17603,51G31691,51G31691,0,1,0
17614,51G51332,51G51332,0,1,0
17615,51G51332,51G51332,0,1,0
17618,51G51332,51G51332,0,1,0
17619,51G51332,51G51332,0,1,0
17652,51F15585,51F15585,0,1,0
17653,51F25585,51F15585,1,1,0
17684,51F22261,51F22261,0,1,0
17685,51F22261,51F22261,0,1,0
17717,60A35981,60A35981,0,1,0
17719,60A35981,60A35981,0,1,0
17754,51F59011,51F59011,0,1,0
17856,51F32488,51F32488,0,1,0
17857,51F32488,51F32488,0,1,0
18552,51G49539,51G49539,0,1,0
18553,51G49539,51G49539,0,1,0
18694,51F20754,51F20754,0,1,0
18695,51F20754,51F20754,0,1,0
18722,51F31118,51F31118,0,1,0
18723,51F31118,51F31118,0,1,0
18843,56D65321,51F06532,1,1,0
18976,0,51A85325,1,0,1
18979,0,51A85325,1,0,1
19472,51F06532,51F06532,0,1,0
19473,51F06532,51F06532,0,1,0
19500,51A72078,51A72078,0,1,0
